sub_id_6,sub_id_5,sub_id_2,sub_id_3,day,clicks,lp_clicks,lp_ctr,cr,cpc,cost,campaign_unique_clicks,conversions,roi_confirmed,revenue,profit,geo,country,revenue_to_cost_ratio,conversion_rate,profit_margin,cluster,recommendation,reason,suggestion,budget_change_pct,priority,cpc_rate
25-07-2025 - US - Aldi - Creative 4,MV25-64 - Adset 4,120229247264770075,120229247264480075,2025-08-07,77,42,54.55,3.9,0.1694,13.04,61,3,-20.96,10.31,-2.73,US,United States,0.7906441111469241,0.03896103845505145,-0.20935581216596535,-1,OPTIMIZE,Outlier with slightly negative ROI -21.0%,Decrease budget by 10%,-10,4,STANDARD
05-08-2025 - DE - Parkside,Adset 1,23848335749810796,23848335749800796,2025-08-07,17,12,70.59,5.88,0.3524,5.99,15,1,-24.87,4.5,-1.49,DE,Germany,0.7512519613936625,0.05882352595155729,-0.24874787166145715,-1,OPTIMIZE,Outlier with slightly negative ROI -24.9%,Decrease budget by 12%,-12,4,STANDARD
05-08-2025 - SE - Rusta,Adset 1,120228896228870232,120228896228860232,2025-08-07,41,18,43.9,4.88,0.1754,7.19,38,2,-24.9,5.4,-1.79,SE,Sweden,0.7510430109815005,0.048780486615110086,-0.24895684993646036,-1,OPTIMIZE,Outlier with slightly negative ROI -24.9%,Decrease budget by 12%,-12,4,STANDARD
01-08-2025 - SE - Marabou - NEW,Adset 3,120232140298910295,120232140160270295,2025-08-07,143,82,57.34,5.59,0.2638,37.72,127,8,-25.77,28.0,-9.72,SE,Sweden,0.7423117512642696,0.055944055552838774,-0.2576882222245965,-1,OPTIMIZE,Outlier with slightly negative ROI -25.8%,Decrease budget by 13%,-13,4,STANDARD
05-08-2025 - SE - Willys,Adset 3,120231113712400255,120231112854210255,2025-08-07,110,64,58.18,3.64,0.1375,15.13,98,4,-28.62,10.8,-4.33,SE,Sweden,0.7138135681550848,0.03636363603305785,-0.2861863657510664,-1,OPTIMIZE,Outlier with slightly negative ROI -28.6%,Decrease budget by 14%,-14,4,STANDARD
05-08-2025 - DE - Parkside - Overlay,Adset 4,23848336021650796,23848335860150796,2025-08-07,19,13,68.42,10.53,0.6642,12.62,17,2,-30.27,8.8,-3.82,DE,Germany,0.6973058084543735,0.10526315235457093,-0.30269411230633025,-1,OPTIMIZE,Outlier with slightly negative ROI -30.3%,Decrease budget by 15%,-15,4,STANDARD
04-06-2025 - UK - Dove - Overlay - Creative 2,Adset #5,120228519116110400,120228518992860400,2025-08-07,333,45,13.51,2.1,0.0573,19.07,271,7,-30.76,13.2,-5.87,UK,United Kingdom,0.6921866443530862,0.02102102095789483,-0.30781330320853156,-1,OPTIMIZE,Outlier with slightly negative ROI -30.8%,Decrease budget by 15%,-15,4,LOW
05-08-2025 - SE - Willys,Adset 4,120231113712420255,120231112854210255,2025-08-07,4,2,50.0,25.0,0.0975,0.39,3,1,592.31,2.7,2.31,SE,Sweden,6.923059171643151,0.24999993750001562,5.9230617357391395,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,LOW
05-08-2025 - SE - Rusta - Overlay,Adset 4,120228897437450232,120228897071150232,2025-08-07,4,3,75.0,25.0,0.145,0.58,3,1,365.52,2.7,2.12,SE,Sweden,4.655164387647608,0.24999993750001562,3.6551661117825662,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
05-08-2025 - SE - Willys - Overlay,Adset 1,120231114575380255,120231114575270255,2025-08-07,5,4,80.0,20.0,0.122,0.61,4,1,342.62,2.7,2.09,SE,Sweden,4.426222252094669,0.199999960000008,3.4262238914362433,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
06-08-2025 - DE - Kinder - Overlay,Adset 5,120230244678780186,120230244500310186,2025-08-07,1,1,100.0,100.0,1.42,1.42,1,1,216.9,4.5,3.08,DE,Germany,3.1690118528085547,0.9999990000010001,2.169012557033411,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,HIGH
06-08-2025 - IT - Douglas,Adset 4,120232364533350628,120232364280140628,2025-08-07,10,8,80.0,30.0,0.196,1.96,9,3,206.12,6.0,4.04,IT,Italy,3.061222927947486,0.299999970000003,2.0612234381513073,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,HIGH
05-08-2025 - SE - Willys,Adset 2,120231113692680255,120231112854210255,2025-08-07,17,13,76.47,17.65,0.1582,2.69,16,3,201.12,8.1,5.41,SE,Sweden,3.011151296969778,0.17647057785467188,2.0111516687168516,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
