sub_id_6,sub_id_5,sub_id_2,sub_id_3,day,clicks,lp_clicks,lp_ctr,cr,cpc,cost,campaign_unique_clicks,conversions,roi_confirmed,revenue,profit,geo,country,revenue_to_cost_ratio,conversion_rate,profit_margin,cluster,recommendation,reason,suggestion,budget_change_pct,priority,cpc_rate
02-08-2025 - SE - Rituals,Adset 4,120228731013440232,120228730572360232,2025-08-12,64,37,57.81,15.63,0.2011,12.87,59,10,109.79,27.0,14.13,SE,Sweden,2.097901934894955,0.15624999755859378,1.0979020125950265,-1,INCREASE_BUDGET,Outlier ROI 109.8%,Increase budget by 22%,22,2,STANDARD
04-07-2025 - SE - Marabou - UGC - Creative 1,Adset #5,120230366680140295,120230366614230295,2025-08-12,28,18,64.29,14.29,0.2711,7.59,28,4,84.45,14.0,6.41,SE,Sweden,1.8445320362935393,0.14285713775510223,0.8445321680458276,-1,INCREASE_BUDGET,Outlier ROI 84.5%,Increase budget by 17%,17,2,STANDARD
02-08-2025 - SE - Rituals - Overlay,Adset 5,120228731457670232,120228731086470232,2025-08-12,75,40,53.33,17.33,0.2565,19.24,67,13,82.43,35.1,15.86,SE,Sweden,1.8243242295049777,0.17333333102222226,0.8243242814800269,-1,INCREASE_BUDGET,Outlier ROI 82.4%,Increase budget by 16%,16,2,STANDARD
02-08-2025 - SE - Rituals - Overlay,Adset 1,120228731086530232,120228731086470232,2025-08-12,95,49,51.58,13.68,0.2392,22.72,87,13,54.49,35.1,12.38,SE,Sweden,1.544894298200075,0.1368421038227147,0.5448943422141576,-1,INCREASE_BUDGET,Outlier ROI 54.5%,Increase budget by 11%,11,2,STANDARD
11-08-2025 - DE - Makita - Overlay,Adset 3,120228592478840519,120228592183720519,2025-08-12,33,20,60.61,12.12,0.3388,11.1806,30,4,53.84,17.2,6.02,DE,Germany,1.5383788402788008,0.12121211753902675,0.5384325940975803,-1,INCREASE_BUDGET,Outlier ROI 53.8%,Increase budget by 11%,11,2,STANDARD
01-08-2025 - DE - Rituals - NEW,Adset 3,120231337370240045,120231337089130045,2025-08-12,15,9,60.0,13.33,0.3827,5.74,12,2,49.83,8.6,2.86,DE,Germany,1.4982575787007701,0.13333332444444504,0.4982577529167677,-1,INCREASE_BUDGET,Outlier ROI 49.8%,Increase budget by 10%,10,2,STANDARD
02-08-2025 - SE - Rituals,Adset 3,120228731013330232,120228730572360232,2025-08-12,180,92,51.11,15.56,0.2839,51.11,159,28,47.92,75.6,24.49,SE,Sweden,1.4791625615503314,0.15555555469135804,0.47916258111597376,-1,INCREASE_BUDGET,Outlier ROI 47.9%,Increase budget by 10%,10,2,STANDARD
06-08-2025 - DE - Kinder - Overlay,Adset 3,120230244678650186,120230244500310186,2025-08-12,67,45,67.16,16.42,0.5228,35.03,66,11,41.31,49.5,14.47,DE,Germany,1.4130744672259645,0.1641791020271776,0.4130744957729234,-1,INCREASE_BUDGET,Outlier ROI 41.3%,Increase budget by 8%,8,2,STANDARD
01-08-2025 - DE - Gillette - NEW,Adset 4,120228469822280289,120228469622160289,2025-08-12,140,90,64.29,10.71,0.3569,49.97,130,15,35.08,67.5,17.53,DE,Germany,1.3508104592593466,0.10714285637755103,0.3508104792713533,-1,INCREASE_BUDGET,Outlier ROI 35.1%,Increase budget by 7%,7,2,STANDARD
01-08-2025 - DE - Action - NEW,Adset 5,120238290950280386,120238290039790386,2025-08-12,95,57,60.0,10.53,0.3406,32.3583,87,10,32.89,43.0,10.64,DE,Germany,1.328870758696509,0.10526315678670362,0.3288182528495548,-1,INCREASE_BUDGET,Outlier ROI 32.9%,Increase budget by 7%,7,2,STANDARD
05-08-2025 - SE - Willys - Overlay,Adset 1 - Copy,120231114652050255,120231114575270255,2025-08-12,27,18,66.67,11.11,0.2393,6.46,26,3,25.39,8.1,1.64,SE,Sweden,1.2538697749427592,0.11111110699588492,0.2538699297414969,-1,INCREASE_BUDGET,Outlier ROI 25.4%,Increase budget by 5%,5,2,STANDARD
25-07-2025 - US - Aldi - Creative 4,MV25-64 - Adset 4,120229247264770075,120229247264480075,2025-08-12,58,38,65.52,5.17,0.1481,8.59,56,3,20.18,10.32,1.73,US,United States,1.201396833364746,0.05172413703923902,0.2013969497791677,-1,INCREASE_BUDGET,Outlier ROI 20.2%,Increase budget by 4%,4,2,STANDARD
02-08-2025 - SE - Rituals,Adset 1,120228730572350232,120228730572360232,2025-08-12,42,21,50.0,11.9,0.2729,11.46,38,5,17.8,13.5,2.04,SE,Sweden,1.1780103684109626,0.119047616213152,0.17801045567098991,-1,INCREASE_BUDGET,Outlier ROI 17.8%,Increase budget by 4%,4,2,STANDARD
06-08-2025 - DE - Kinder - Overlay - Creatives 2,Adset 2,120230446308850186,120230446030860186,2025-08-12,19,12,63.16,10.53,0.4111,7.81,18,2,15.24,9.0,1.19,DE,Germany,1.1523686104521627,0.10526315235457093,0.15236873849311927,-1,INCREASE_BUDGET,Outlier ROI 15.2%,Increase budget by 3%,3,2,STANDARD
28-07-2025 - DE - Rituals - Creative 2,25-64 - Adset 1,120231063610300045,120231063610390045,2025-08-12,68,42,61.76,8.82,0.336,22.85,61,6,12.91,25.8,2.95,DE,Germany,1.1291027952252606,0.08823529282006923,0.12910283898893482,-1,INCREASE_BUDGET,Outlier ROI 12.9%,Increase budget by 3%,3,2,STANDARD
23-07-2025 - UK - Lenor - Woman - Creative 2,Adset #5,120231940067790400,120231939970540400,2025-08-12,51,30,58.82,9.8,0.1678,8.56,46,5,10.64,9.47,0.91,UK,United Kingdom,1.1063082819733316,0.09803921376393698,0.10630839879574781,-1,INCREASE_BUDGET,Outlier ROI 10.6%,Increase budget by 2%,2,2,INSUFFICIENT_DATA
05-08-2025 - SE - Rusta,Adset 5,120228896933580232,120228896228860232,2025-08-12,161,64,39.75,11.18,0.285,45.88,146,18,5.93,48.6,2.72,SE,Sweden,1.0592850684549897,0.1118012415416072,0.059285090250978854,-1,INCREASE_BUDGET,Outlier ROI 5.9%,Increase budget by 1%,1,2,STANDARD
05-08-2025 - SE - Rusta,Adset 3,120228896933630232,120228896228860232,2025-08-12,143,59,41.26,10.49,0.2716,38.84,124,15,4.27,40.5,1.66,SE,Sweden,1.0427394170252466,0.1048951041615727,0.042739442771899,-1,INCREASE_BUDGET,Outlier ROI 4.3%,Increase budget by 1%,1,2,STANDARD
11-08-2025 - DE - Makita,Adset 5,120228591884170519,120228591714020519,2025-08-12,67,31,46.27,8.96,0.37,24.79,55,6,4.07,25.8,1.01,DE,Germany,1.0407421927897462,0.08955223746936959,0.040742233128590835,-1,INCREASE_BUDGET,Outlier ROI 4.1%,Increase budget by 1%,1,2,STANDARD
06-08-2025 - IT - Douglas,Adset 4,120232364533350628,120232364280140628,2025-08-12,65,39,60.0,9.23,0.1472,9.57,56,6,0.31,9.6,0.03,IT,Italy,1.0031346914174826,0.09230769088757398,0.0031347959106796334,-1,INCREASE_BUDGET,Outlier ROI 0.3%,Increase budget by 0%,0,2,STANDARD
