sub_id_6,sub_id_5,sub_id_2,sub_id_3,day,clicks,lp_clicks,lp_ctr,cr,cpc,cost,campaign_unique_clicks,conversions,roi_confirmed,revenue,profit,geo,country,revenue_to_cost_ratio,conversion_rate,profit_margin,cluster,recommendation,reason,suggestion,priority
31-07-2025 - DE - Xiaomi - NEW - Overlay - Creative 4,Adset #1,120231199617010210,120231199616310210,2025-08-03,1,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,DE,Germany,0.0,0.0,0.0,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
01-08-2025 - SE - Marabou - NEW - Cost cap,Adset 4,120232197018980295,120232197018780295,2025-08-03,6,4,66.67,16.67,0.615,3.69,6,1,-5.15,3.5,-0.19,SE,Sweden,0.948509228,0.1666666389,-0.051490501,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - SE - Milwaukee - Overlay - Creative 9,Adset #1,120230910560670153,120230910559910153,2025-08-03,7,4,57.14,14.29,0.4771,3.34,7,1,-19.16,2.7,-0.64,SE,Sweden,0.8083829915,0.1428571224,-0.1916167091,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
01-08-2025 - SE - Milwaukee - NEW - Overlay,Adset 1,120231098702090153,120231098701960153,2025-08-03,24,10,41.67,4.17,0.2,4.8,21,1,-43.75,2.7,-2.1,SE,Sweden,0.5624998828,0.0416666649,-0.4374999089,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
01-08-2025 - DE - Action - NEW,Adset 4,120238290950260386,120238290039790386,2025-08-03,19,11,57.89,0.0,0.1916,3.64,14,0,-100.0,0.0,-3.64,DE,Germany,0.0,0.0,-0.9999997253,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
01-08-2025 - DE - Gillette - NEW,Adset 3,120228469822270289,120228469622160289,2025-08-03,10,5,50.0,0.0,0.319,3.19,9,0,-100.0,0.0,-3.19,DE,Germany,0.0,0.0,-0.9999996865,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
01-08-2025 - DE - Gillette - NEW,Adset 5,120228469822290289,120228469622160289,2025-08-03,7,5,71.43,0.0,0.5857,4.1,7,0,-100.0,0.0,-4.1,DE,Germany,0.0,0.0,-0.9999997561,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
01-08-2025 - DE - Rituals - NEW,Adset 2,120231337370110045,120231337089130045,2025-08-03,2,1,50.0,0.0,0.33,0.66,1,0,-100.0,0.0,-0.66,DE,Germany,0.0,0.0,-0.9999984849,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
01-08-2025 - DE - Rituals - NEW,Adset 3,120231337370240045,120231337089130045,2025-08-03,3,1,33.33,0.0,0.1867,0.56,3,0,-100.0,0.0,-0.56,DE,Germany,0.0,0.0,-0.9999982143,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
01-08-2025 - DE - Rituals - NEW,Adset 4,120231337370250045,120231337089130045,2025-08-03,8,3,37.5,0.0,0.3025,2.42,4,0,-100.0,0.0,-2.42,DE,Germany,0.0,0.0,-0.9999995868,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
